  PSU201604781 ;  11/12/2016 2:54 AM ;  11/12/2016 2:54 AM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  Pinchot Hall ;  Closed  ;
  PSU201604769 ;  11/11/2016 9:20 PM to 9:30 PM ;  11/11/2016 9:37 PM ;  Identified occupant in possession of drug paraphernalia ;  Possession of Paraphernalia ;  Packer Hall ;  Open  ;
  PSU201604768 ;  11/11/2016 9:00 PM to 9:30 PM ;  11/11/2016 9:06 PM ;  Resident Assistant reported the odor of marijuana, origin not located ;  Possession of Small Amount of Marijuana ;  Hamilton Hall ;  Open  ;
  PSU201604767 ;  11/11/2016 8:00 PM to 8:50 PM ;  11/11/2016 8:45 PM ;  Student requested assistance with a personal matter ;  RFA-Request for Assistance ;  Young Hall ;  Closed  ;
  PSU201604766 ;  11/11/2016 8:15 PM to 8:40 PM ;  11/11/2016 8:43 PM ;  Resident Assistant reported the odor of marijuana, origin not located ;  Possession of Small Amount of Marijuana ;  Bigler Hall ;  Open  ;
  PSU201604765 ;  11/11/2016 7:30 PM ;  11/11/2016 8:37 PM ;  Visitor reported a hit and run vehicle crash ;  Vehicle Code - Accident/Duty To Give Info And Render Aid/Accident Inv Death/Pers Injury ;  Mckean Rd & Bigler Rd ;  Open  ;
  PSU201604764 ;  11/11/2016 5:00 PM to 10:00 PM ;  11/11/2016 5:00 PM ;  Staff provided security and traffic control for the PSU vs Albany home basketball game ;  Community Education Report ;  Bryce Jordan Center ;  Closed  ;
  PSU201604763 ;  11/11/2016 3:14 PM to 3:34 PM ;  11/11/2016 3:14 PM ;  Student reported a University policy violation ;  PSU-Rules and Regulations ;  Forest Resources Bldg ;  Closed  ;
  PSU201604762 ;  11/11/2016 2:56 PM to 2:57 PM ;  11/11/2016 2:57 PM ;  Employee reported the odor of marijuana, origin not located ;  Possession of Small Amount of Marijuana ;  McElwain Hall ;  Open  ;
  PSU201604761 ;  11/11/2016 2:31 PM ;  11/11/2016 2:31 PM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  W College Ave ;  Closed  ;
  PSU201604760 ;  11/11/2016 2:20 PM to 2:30 PM ;  11/11/2016 2:23 PM ;  Assisted the ambulance with a medical emergency ;  RFA-Request for Assistance/Health and Safety ;  Hub Robeson Cultural Center Bldg ;  Closed  ;
  PSU201604759 ;  11/11/2016 10:00 AM to 2:00 PM ;  11/11/2016 1:35 PM ;  Staff provided security for Penn State women's ice hockey ;  Community Education Report ;  Pegula Ice Arena Bldg ;  Closed  ;
  PSU201604758 ;  11/11/2016 1:00 PM ;  11/11/2016 1:15 PM ;  Employee reported finding abandoned drug paraphernalia ;  Possession of Paraphernalia ;  McElwain Hall ;  Open  ;
  PSU201604757 ;  11/11/2016 12:45 PM to 12:47 PM ;  11/11/2016 12:46 PM ;  Assisted the ambulance with a medical emergency ;  RFA-Request for Assistance/Health and Safety ;  Mueller Lab Bldg ;  Closed  ;
  PSU201604756 ;  11/11/2016 12:30 PM ;  11/11/2016 12:32 PM ;  Student reported a two vehicle traffic accident with no injuries ;  Vehicle Code - Accident/Driving While Susp Or Revoked ;  Lot Blue 81 N. Of Pollock Bldg ;  Open  ;
  PSU201604755 ;  11/04/2016 12:00 PM to 3:00 PM ;  11/11/2016 11:43 AM ;  Employee reported the loss or theft of their unsecured personal property ;  Lost Property - Misc Property/Theft/Under $50/From Motor Vehicle ;  Hub Parking Deck ;  Closed  ;
  PSU201604754 ;  11/11/2016 11:30 AM ;  11/11/2016 11:30 AM ;  Assisted an oustide law enforcement agency with an investigation ;  Assist Other Law Enforcement Agency ;  Eisenhower Parking Deck ;  Closed  ;
  PSU201604753 ;  11/05/2016 11:30 AM to 11/07/2016 10:00 AM ;  11/11/2016 11:17 AM ;  Employee reported a hit and run vehicle crash ;  Accidents Involving Damage To Unattended Vh/Propty ;  Bank America Career Services Bldg ;  Open  ;
  PSU201604752 ;  11/11/2016 10:45 AM ;  11/11/2016 10:47 AM ;  Assisted the ambulance with a medical emergency ;  RFA-Request for Assistance/Health and Safety ;  Geary Hall Lobby ;  Closed  ;
  PSU201604751 ;  11/11/2016 10:33 AM to 10:34 AM ;  11/11/2016 10:34 AM ;  Assisted the ambulance with a medical emergency ;  RFA-Request for Assistance/Health and Safety ;  Packer Hall ;  Closed  ;
  PSU201604750 ;  08/22/2016 12:00 AM to 11/11/2016 10:00 AM ;  11/11/2016 10:08 AM ;  Assisted an outside law enforcement agency with an investigation ;  Assist State College Police ;  Eisenhower Parking Deck ;  Closed  ;
  PSU201604749 ;  11/11/2016 7:50 AM to 9:17 AM ;  11/11/2016 9:17 AM ;  Employee requested assistance with an administrative matter ;  RFA-Request for Assistance ;  Osmond Lab ;  Open  ;
  PSU201604748 ;  11/11/2016 2:16 AM ;  11/11/2016 2:16 AM ;  Underage visitor observed highly intoxicated and transported to the hospital ;  Pur,Cons,Poss, Trans Intox Bev/Public Drunkenness/Health and Safety/RFA-Request for Assistance ;  Arl Bldg ;  Open  ;
  PSU201604747 ;  11/11/2016 12:23 AM to 12:42 AM ;  11/11/2016 12:44 AM ;  Assisted a student with a personal matter ;  Health and Safety ;  Pennypacker Hall ;  Closed  ;
  PSU201604746 ;  11/11/2016 12:35 AM to 12:45 AM ;  11/11/2016 12:39 AM ;  Underage student observed highly intoxicated and transported to the hospital ;  Pur,Cons,Poss, Trans Intox Bev/Criminal Trespass/Health and Safety/RFA-Request for Assistance ;  Simmons Hall ;  Open  ;
  PSU201604745 ;  11/11/2016 12:30 AM to 12:55 AM ;  11/11/2016 12:30 AM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  Pollock Rd ;  Closed  ;
  PSU201604744 ;  11/10/2016 11:15 PM to 11/11/2016 12:00 AM ;  11/10/2016 11:31 PM ;  Identified occupants in possession of marijuana and drug paraphernalia ;  Possession of Small Amount of Marijuana/Pur,Cons,Poss, Trans Intox Bev/Possession of Paraphernalia ;  McElwain Hall ;  Open  ;
  PSU201604743 ;  11/10/2016 10:56 PM ;  11/10/2016 10:56 PM ;  Student reported suspicious activity ;  Suspicious Activity - Persons ;  Curtin Rd ;  Closed  ;
  PSU201604742 ;  11/10/2016 10:20 PM to 10:40 PM ;  11/10/2016 10:42 PM ;  Resident Assistant reported the odor of marijuana, origin not located ;  Possession of Small Amount of Marijuana ;  Pinchot Hall ;  Inactive  ;
  PSU201604741 ;  11/10/2016 9:00 PM to 10:30 PM ;  11/10/2016 9:25 PM ;  Student reported a concern for another student ;  Health and Safety ;  Hub Robeson Cultural Center Bldg ;  Closed  ;
  PSU201604740 ;  11/10/2016 7:23 PM ;  11/10/2016 7:23 PM ;  Employee reported suspicious activity ;  Suspicious Activity - Other ;  Pattee Library Bldg ;  Closed  ;
  PSU201604739 ;  11/10/2016 12:30 PM to 12:35 PM ;  11/10/2016 1:54 PM ;  Visitor reported a pedestrian and bicycle crash with injuries ;  Vehicle Code - Accident/Health and Safety/PSU-Rules and Regulations/Accident Inv Death/Pers Injury ;  Leonhard Bldg ;  Open  ;
  PSU201604738 ;  11/10/2016 11:32 AM ;  11/10/2016 11:32 AM ;  Identified occupants in possession of beverage alcohol and controlled substances ;  Possession of Small Amount of Marijuana/Pur,Cons,Poss, Trans Intox Bev/Possession Of A Controlled Substance ;  Leete Hall ;  Cleared by Arrest ;  Charges/Citations:  Jauregui,Lucas (Student) of 52490 Swanson Dr  South Bend, IN was charged with:;Pur,Cons,Poss, Trans Intox Bev  ;
  PSU201604737 ;  11/10/2016 10:37 AM ;  11/10/2016 10:37 AM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  White Bldg ;  Closed  ;
  PSU201604736 ;  10/21/2016 9:00 PM to 11/05/2016 11:30 PM ;  11/10/2016 10:24 AM ;  Student reported the theft of their secured personal property ;  Theft/Over $200/Bicycle ;  Stadium West Lot ;  Open  ;
  PSU201604735 ;  11/10/2016 4:19 AM ;  11/10/2016 4:19 AM ;  student consumed alcoholic beverages being less than 21 years of age ;  Criminal Mischief - Other/Pur,Cons,Poss, Trans Intox Bev ;  Shulze Hall ;  Cleared by Arrest ;  Charges/Citations:  Vandevort,Jack T (Student) of 188 Brothers Ct  Port Matilda, PA was charged with:;Pur,Cons,Poss, Trans Intox Bev  ;
  PSU201604734 ;  11/10/2016 1:40 AM to 2:05 AM ;  11/10/2016 2:04 AM ;  Underage student observed highly intoxicated ;  Pur,Cons,Poss, Trans Intox Bev/Health and Safety/RFA-Request for Assistance ;  Beaver Hall ;  Cleared by Arrest ;  Charges/Citations:  Rogers,Olivia Ann (Student) of 262 Newtown Tpke  Weston, CT was charged with:;Pur,Cons,Poss, Trans Intox Bev  ;
  PSU201604733 ;  11/10/2016 12:45 AM ;  11/10/2016 12:45 AM ;  An unknown person submitted an indiscernible Report A Crime on-line submission form ;  RFA-Request for Assistance ;  Eisenhower Parking Deck ;  Closed  ;
  PSU201604732 ;  11/09/2016 7:30 PM to 9:30 PM ;  11/09/2016 11:11 PM ;  Student reported the theft of their unsecured personal property ;  Theft/$50-$200/Bicycle ;  Thomas Building Lot ;  Inactive  ;
  PSU201604731 ;  11/09/2016 8:45 PM to 8:50 PM ;  11/09/2016 10:08 PM ;  Student reported a University policy violation ;  PSU-Rules and Regulations ;  Cooper Hall ;  Closed  ;
  PSU201604730 ;  11/09/2016 4:15 PM to 4:30 PM ;  11/09/2016 10:00 PM ;  Student reported she was sexually assaulted by a known person in a residence hall ;  Forcible Rape/Sexual Assault/Aggravated Indecent Assault/Indecent Assault ;  Campus Residence Hall ;  Open  ;
  PSU201604729 ;  11/09/2016 9:00 PM to 9:45 PM ;  11/09/2016 9:28 PM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  Pinchot Hall ;  Closed  ;
  PSU201604728 ;  11/09/2016 8:50 PM to 8:55 PM ;  11/09/2016 8:54 PM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  White Bldg ;  Closed  ;
  PSU201604727 ;  11/09/2016 8:00 PM to 8:30 PM ;  11/09/2016 8:38 PM ;  Resident Assistant reported the odor of marijuana, origin not located ;  Possession of Small Amount of Marijuana ;  Curtin Hall ;  Inactive  ;
  PSU201604726 ;  11/09/2016 6:50 PM to 6:55 PM ;  11/09/2016 6:54 PM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  Willard Bldg ;  Closed  ;
  PSU201604724 ;  11/09/2016 3:05 PM ;  11/09/2016 3:05 PM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  Pasquerilla Spiritual Center Bldg ;  Closed  ;
  PSU201604725 ;  11/09/2016 2:59 PM to 3:54 PM ;  11/09/2016 2:59 PM ;  Employee reported a concerning odor ;  Health and Safety ;  Ford Bldg ;  Closed  ;
  PSU201604723 ;  11/09/2016 2:00 PM to 2:49 PM ;  11/09/2016 2:49 PM ;  Student reported a University policy violation ;  PSU-Rules and Regulations ;  Old Main ;  Closed  ;
  PSU201604722 ;  11/09/2016 2:40 PM to 2:45 PM ;  11/09/2016 2:41 PM ;  Employee reported disorderly persons ;  Disorderly Conduct - Domestic Disorder/RFA-Request for Assistance ;  Rackley Bldg ;  Inactive  ;
  PSU201604721 ;  11/09/2016 1:35 PM to 1:58 PM ;  11/09/2016 1:38 PM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  Mateer Bldg ;  Closed  ;
  PSU201604720 ;  11/09/2016 11:55 AM ;  11/09/2016 11:55 AM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  Physical Plant Bldg ;  Closed  ;
  PSU201604719 ;  11/09/2016 11:45 AM ;  11/09/2016 11:50 AM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  Willard Bldg ;  Closed  ;
  PSU201604718 ;  11/08/2016 12:00 PM to 3:15 PM ;  11/09/2016 11:48 AM ;  Student reported the theft of their unsecured personal property ;  Theft/Over $200/From Building ;  Waring Cmns ;  Open  ;
  PSU201604717 ;  11/07/2016 1:29 PM ;  11/09/2016 10:51 AM ;  Employee reported suspicious activity ;  Suspicious Activity - Other ;  Information Science Tech Bldg ;  Closed  ;
  PSU201604716 ;  11/09/2016 10:00 AM to 10:39 AM ;  11/09/2016 10:39 AM ;  Employee reported the odor of marijuana ;  Injr Tampg With Fire Apparatus/Possession of Small Amount of Marijuana/Possession of Paraphernalia/PSU-Rules and Regulations ;  Geary Hall ;  Open  ;
  PSU201604715 ;  11/09/2016 3:05 AM to 4:40 AM ;  11/09/2016 3:16 AM ;  Assisted an outside law enforcement agency with and investigation ;  Assist State College Police ;  S Atherton St ;  Open  ;
  PSU201604713 ;  11/08/2016 9:00 PM to 11:00 PM ;  11/09/2016 1:10 AM ;  Student participated in a police ride-along program ;  Community Education Report ;  Eisenhower Parking Deck ;  Closed  ;
  PSU201604714 ;  11/09/2016 12:50 AM to 1:00 AM ;  11/09/2016 1:00 AM ;  Employee reported disorderly persons ;  Disorderly Conduct - Loud Voices ;  Findlay Cmns ;  Inactive  ;
  PSU201604712 ;  11/09/2016 12:30 AM to 1:00 AM ;  11/09/2016 12:40 AM ;  Resident Assistant reported the odor of marijuana; origin not located. ;  Possession of Small Amount of Marijuana ;  Brumbaugh Hall ;  Inactive  ;
  PSU201604711 ;  11/09/2016 12:30 AM to 12:38 AM ;  11/09/2016 12:38 AM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  Chace Hall ;  Closed  ;
  PSU201604710 ;  11/09/2016 12:05 AM to 12:35 AM ;  11/09/2016 12:35 AM ;  Underage student observed highly intoxicated and transported to the hospital ;  Pur,Cons,Poss, Trans Intox Bev/Health and Safety/RFA-Request for Assistance ;  McKean Hall ;  Open  ;
  PSU201604709 ;  11/06/2016 12:01 AM to 11:59 PM ;  11/08/2016 9:23 PM ;  Student reported a person trespassing inside a residence hall room ;  Criminal Trespass ;  Beaver Hall ;  Open  ;
  PSU201604708 ;  11/08/2016 7:08 PM to 7:40 PM ;  11/08/2016 7:08 PM ;  Officer participated in a community education program regarding SAFE ;  Community Education Report ;  Shields Bldg ;  Closed  ;
  PSU201604707 ;  11/08/2016 6:00 PM to 6:30 PM ;  11/08/2016 6:05 PM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  Chace Hall ;  Closed  ;
  PSU201604706 ;  11/07/2016 9:30 AM to 12:00 PM ;  11/08/2016 5:34 PM ;  Student reported the loss or theft of their University property ;  Theft Of Property Lost Etc. ;  Eisenhower Parking Deck ;  Inactive  ;
  PSU201604705 ;  11/08/2016 3:30 PM to 4:08 PM ;  11/08/2016 4:09 PM ;  Visitor requested assistance in locating a student ;  RFA-Request for Assistance ;  Jordan Hall ;  Closed  ;
  PSU201604703 ;  10/15/2014 (All day) to 11/16/2014 (All day) ;  11/08/2016 3:30 PM ;  Received a Campus Security Authority report of a sexual assault ;  Forcible Rape ;  Campus Residence Hall ;  Inactive  ;
  PSU201604704 ;  11/01/2015 (All day) to 11/07/2015 (All day) ;  11/08/2016 3:30 PM ;  Received a Campus Security Authority report of a sexual assault ;  Forcible Rape ;  Campus Residence Hall ;  Inactive  ;
  PSU201604702 ;  11/06/2016 1:00 AM to 2:00 AM ;  11/08/2016 3:15 PM ;  Student reported being sexually assaulted by a known person in a residence hall ;  Forcible Rape ;  Campus Residence Hall ;  Open  ;
  PSU201604701 ;  11/08/2016 1:30 AM to 9:50 AM ;  11/08/2016 12:29 PM ;  Student reported the theft of their unattended personal property ;  Theft Of Property Lost Etc. ;  Pattee Library Bldg ;  Open  ;
  PSU201604700 ;  08/15/2016 1:18 PM to 11/08/2016 1:19 PM ;  11/08/2016 12:23 PM ;  Assisted an outside law enforcement agency with an investigation ;  Assist State College Police ;  Eisenhower Parking Deck ;  Closed  ;
  PSU201604699 ;  11/08/2016 1:00 AM to 1:09 AM ;  11/08/2016 1:10 AM ;  Resident Assistant reported the odor of marijuana,origin not located ;  Possession of Small Amount of Marijuana ;  McElwain Hall ;  Inactive  ;
  PSU201604698 ;  11/07/2016 7:00 PM to 7:30 PM ;  11/07/2016 7:45 PM ;  Student reported being harassed ;  Open Lewdness/Stalking/Harassment ;  University Park Campus ;  Open  ;
  PSU201604697 ;  11/07/2016 6:30 PM to 6:46 PM ;  11/07/2016 6:47 PM ;  Employee reported an attempted theft of University property ;  Ret Theft/Under $50/Shoplifting ;  Pollock Cmns ;  Open  ;
  PSU201604696 ;  11/07/2016 6:15 PM to 6:30 PM ;  11/07/2016 6:22 PM ;  Officer participated in a community education program regarding ARSH ;  Community Education Report ;  Redifer Cmns ;  Closed  ;
  PSU201604695 ;  10/21/2016 (All day) to 10/29/2016 (All day) ;  11/07/2016 6:12 PM ;  Received this department's copy of a Protection From Abuse (PFA) Order ;  RFA-Request for Assistance ;  Eisenhower Parking Deck ;  Closed  ;
  PSU201604694 ;  11/07/2016 5:00 PM ;  11/07/2016 5:31 PM ;  Assisted an outside law enforcement agency with an investigation ;  Assist State College Police ;  Fox Hollow Rd ;  Closed  ;
  PSU201604693 ;  11/05/2016 1:00 PM to 5:00 PM ;  11/07/2016 3:56 PM ;  Visitor reported the theft of personal property from an unsecured residence hall room ;  Burglary/No Force-Res-Day/Theft/Under $50/From Building/Receiving Stolen Property ;  Brumbaugh Hall ;  Open  ;
  PSU201604692 ;  10/24/2016 12:00 PM to 11/07/2016 2:00 PM ;  11/07/2016 2:34 PM ;  Student reported the theft of their unsecured personal property ;  Theft/$50-$200/Bicycle ;  Pattee Library Bldg ;  Inactive  ;
  PSU201604691 ;  11/05/2016 7:40 PM to 10:30 PM ;  11/07/2016 1:58 PM ;  Student reported being physically assaulted by unknown persons ;  Simple Assault/Harassment ;  Football 19 Lot ;  Inactive  ;
  PSU201604690 ;  11/05/2016 12:00 PM to 8:00 PM ;  11/07/2016 12:31 PM ;  Student reported the loss or theft of their unattended personal property ;  Theft Of Property Lost Etc. ;  Beaver Stadium ;  Inactive  ;
  PSU201604689 ;  11/04/2016 4:06 PM to 11/07/2016 4:09 PM ;  11/07/2016 10:19 AM ;  Employee reported the theft of unattended University property ;  Theft/$50-$200/From Building/Receiving Stolen Property ;  Hub Robeson Cultural Center Bldg ;  Open  ;
  PSU201604688 ;  11/05/2016 7:30 PM ;  11/07/2016 9:36 AM ;  Employee reported being harassed ;  Harassment ;  Beaver Stadium ;  Inactive  ;
  PSU201604687 ;  11/05/2016 5:00 PM to 11/06/2016 7:00 AM ;  11/07/2016 9:34 AM ;  Employee reported damage to University property ;  Criminal Mischief - Other ;  Laundry Bldg ;  Inactive  ;
  PSU201604686 ;  11/06/2016 6:00 PM to 10:30 PM ;  11/06/2016 10:18 PM ;  Staff provided security for the concert event "Pup" ;  Community Education Report ;  Hub Robeson Cultural Center Bldg ;  Closed  ;
  PSU201604685 ;  11/06/2016 5:05 PM to 5:30 PM ;  11/06/2016 5:06 PM ;  Student requested assistance with a personal matter ;  RFA-Request for Assistance ;  Eisenhower Parking Deck ;  Closed  ;
  PSU201604684 ;  11/05/2016 12:00 PM to 11/06/2016 12:00 AM ;  11/06/2016 3:52 PM ;  Student reported the loss or theft of their unattended personal property ;  Theft Of Property Lost Etc. ;  Thomas Bldg ;  Open  ;
  PSU201604683 ;  11/06/2016 2:29 PM ;  11/06/2016 2:29 PM ;  Officers responded to burglary alarm ;  Intrusion Alarms - Malfunction ;  Breazeale Nuclear Reactor Bldg ;  Closed  ;
  PSU201604682 ;  11/04/2016 7:00 PM to 11/06/2016 12:00 PM ;  11/06/2016 1:37 PM ;  Student reported the theft of their unsecured personal property ;  Theft/Over $200/Bicycle ;  Nittany Hall ;  Open  ;
  PSU201604681 ;  11/05/2016 7:00 AM to 11/06/2016 1:00 PM ;  11/06/2016 12:45 PM ;  Assisted outside law enforcement agencies with PSU vs.Iowa football game related investigations ;  Assist Other Law Enforcement Agency ;  Eisenhower Parking Deck ;  Closed ;  Charges/Citations:  Ator,Gabrielle Antonia (Student) of 54 Rhedwood Ave  Sugarloaf, PA was charged with:;			Pur,Cons,Poss, Trans Intox Bev;  Bednarski,Drew (Student) of 140 Wyoming Ave  Wyoming, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Briggs,Eden Alice (Student) of 1 Titus Ave  Lawrenceville, NJ was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Browell,Alexander Lewis (Student) of 117 Will Scarlet Rd  Mcmurray, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Campbell,Joshua Guang Yang (Student) of 1523 Westpoint Cir  Altoona, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Daley,Brian Richard (Student) of 220 Brittany Pl  Niskayuna, NY was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Dietz,Ashley Kristine (Visitor) of 781 Accomac Rd  York, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Distasio,Nicholas Michael (Student) of 14 Annabeth Rd  Oley, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Ficco,Jacquelyn Marie (Student) of 4 Maryland Ave  Havertown, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Flanagan,Kerry Alice (Visitor) of 7 Flora Dr  Holmdel, NJ was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Goold,Christine Lynne (Student) of 340 Arionne Dr  Hatboro, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Grove,Karli Paige (Student) of 1256 Kennedy Ct  Chambersburg, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Gulkowskki,Jared Richard (Visitor) of 13009 New Austin Ct  Herndon, VA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Hazel,Brian Thomas (Student) of 3703 Lyndell St  Pittsburgh, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Kreymborg,Matthew Meise (Student) of 12 Lois Ln  Southampton, NY was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Lanciano,Alyssa Marie (Visitor) of 118 Patterson Rd  Aston, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Marzka,Jacob Ryan (Student) of 8625 Honeysuckle Dr  Erie, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Mcguigan,Colby Patrick (Visitor) of 1412 Haven Ave  Ocean City, NJ was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Merrill,Bryce Johnathan (Visitor) of 1670 W Southern Ave  S Williamsport, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Merwin,Claire Victoria (Student) of 3206 Stevenson Pl Nw  Washington, DC was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Montemarano,James Michael (Student) of 123 Hidden Oaks Dr  Milford, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Palumbo,Natalie Rae (Visitor) of 380 Hill St  South Hampton, NY was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Richardella,Mark N (Student) of 2 Briarwood Dr  Fairfield, NJ was charged with:;	Pur,Cons,Poss, Trans Intox Bev;	Public Drunkenness;  Runkle,Austin C (Student) of 1840 Hampden Blvd  Reading, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Sampsell,Harold Troy (Visitor) of 170 Upper Georges Valley Rd  Spring Mills, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Seagraves,Nicholas Mark (Visitor) of 3116 N Front St  Whitehall, PA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Sigda,Matthew Joseph (Student) of 2406 William And Mary Dr  Alexandria, VA was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Juvenile (visitor) was charged with:;	Pur,Cons,Poss, Trans Intox Bev;  Zabriskie,Thomas Bennett (Student) of 11 Charles St  Auburn, NY was charged with:;	Pur,Cons,Poss, Trans Intox Bev  ;
  PSU201604680 ;  11/06/2016 11:32 AM ;  11/06/2016 11:32 AM ;  Employee reported damage to University property ;  Theft/$50-$200/Other/Criminal Mischief - Other ;  Hibbs Hall ;  Open  ;
  PSU201604679 ;  11/05/2016 8:00 PM ;  11/06/2016 10:40 AM ;  Employee reported disorderly person ;  Disorderly Conduct/Criminal Trespass ;  Beaver Stadium ;  Inactive  ;
  PSU201604678 ;  11/05/2016 7:00 PM to 10:30 PM ;  11/06/2016 4:02 AM ;  Visitor reported the theft of their unattended property ;  Theft/Over $200/From Motor Vehicle ;  Beaver Stadium ;  Inactive  ;
  PSU201604676 ;  11/06/2016 2:26 AM to 3:03 AM ;  11/06/2016 2:26 AM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  Stephens Hall ;  Closed  ;
  PSU201604677 ;  11/06/2016 1:30 AM to 2:00 AM ;  11/06/2016 2:06 AM ;  Underage student observed highly intoxicated and transported to hospital ;  Pur,Cons,Poss, Trans Intox Bev/Health and Safety/RFA-Request for Assistance ;  Simmons Hall ;  Open  ;
